baseline_continuity,generator.n_samples,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95
0.0,600,orientation,0.25,angle,1,100,100,74,0.74,0.04386342439892262,100,0.06011146370227121,0.04557172970305651,0.059789755138394546,0.07378177017327098,100,9.623616777374668,15.000688585285213,49.24337615127463
0.0,600,orientation,0.25,shape,1,100,100,96,0.96,0.019595917942265433,100,0.06011146370227121,0.04557172970305651,0.059789755138394546,0.07378177017327098,100,9.623616777374668,15.000688585285213,49.24337615127463
0.0,600,orientation,0.5,delta,1,100,100,81,0.81,0.03923009049186606,100,0.058362203786858455,0.04079538966831864,0.05394560779447499,0.06676099580275224,100,11.65819476946035,13.979786074296042,56.572733199177364
0.0,600,orientation,0.5,angle,1,100,100,81,0.81,0.03923009049186606,100,0.058362203786858455,0.04079538966831864,0.05394560779447499,0.06676099580275224,100,11.65819476946035,13.979786074296042,56.572733199177364
0.0,600,orientation,0.5,shape,1,100,100,100,1.0,0.0,100,0.058362203786858455,0.04079538966831864,0.05394560779447499,0.06676099580275224,100,11.65819476946035,13.979786074296042,56.572733199177364
0.0,600,orientation,1.0,delta,1,100,100,78,0.78,0.04142463035441595,100,0.05380456174711787,0.03843490077583539,0.04815124793662626,0.06551027197400133,100,18.75930636485424,38.20936539621365,55.47103406050049
0.0,600,orientation,1.0,angle,1,100,100,76,0.76,0.04270831300812525,100,0.05380456174711787,0.03843490077583539,0.04815124793662626,0.06551027197400133,100,18.75930636485424,38.20936539621365,55.47103406050049
0.0,600,orientation,1.0,shape,1,100,100,99,0.99,0.009949874371066205,100,0.05380456174711787,0.03843490077583539,0.04815124793662626,0.06551027197400133,100,18.75930636485424,38.20936539621365,55.47103406050049
0.0,1200,orientation,0.25,delta,1,100,100,88,0.88,0.03249615361854384,100,0.06125612800881198,0.04494232709529289,0.05986129299372231,0.07693063095737696,100,5.858884937391828,6.680548242287531,43.83995902949007
0.0,1200,orientation,0.25,angle,1,100,100,83,0.83,0.037563279941985904,100,0.06125612800881198,0.04494232709529289,0.05986129299372231,0.07693063095737696,100,5.858884937391828,6.680548242287531,43.83995902949007
