trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,1.0,power_design-6936169acc4b,power_design,angle,2,3,0.06338210771477076,0.1237988594751121,0.0849570991691877,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,1.0,power_design-6936169acc4b,power_design,delta,0,3,0.008564508230518297,0.03612698799497899,0.023786236568761037,34,34,33,0.9705882352941176,0.028976010768934652,ok
orientation,1.0,power_design-6936169acc4b,power_design,delta,1,3,0.036376477280650854,0.06202192030710091,0.047635805168885104,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,1.0,power_design-6936169acc4b,power_design,delta,2,3,0.06338210771477076,0.1237988594751121,0.0849570991691877,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,1.0,power_design-6936169acc4b,power_design,shape,0,3,0.008564508230518297,0.03612698799497899,0.023786236568761037,34,34,34,1.0,0.0,ok
orientation,1.0,power_design-6936169acc4b,power_design,shape,1,3,0.036376477280650854,0.06202192030710091,0.047635805168885104,33,33,33,1.0,0.0,ok
orientation,1.0,power_design-6936169acc4b,power_design,shape,2,3,0.06338210771477076,0.1237988594751121,0.0849570991691877,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,angle,0,3,0.005750109179990581,0.030789391189541326,0.02028277588809431,34,34,22,0.6470588235294118,0.08195653482579246,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,angle,1,3,0.030944817847141093,0.059859657537181865,0.04288888057985026,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,angle,2,3,0.059988284590011764,0.13023191313842636,0.08256956991127191,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,delta,0,3,0.005750109179990581,0.030789391189541326,0.02028277588809431,34,34,28,0.8235294117647058,0.06537869767367192,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,delta,1,3,0.030944817847141093,0.059859657537181865,0.04288888057985026,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,delta,2,3,0.059988284590011764,0.13023191313842636,0.08256956991127191,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,shape,0,3,0.005750109179990581,0.030789391189541326,0.02028277588809431,34,34,34,1.0,0.0,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,shape,1,3,0.030944817847141093,0.059859657537181865,0.04288888057985026,33,33,33,1.0,0.0,ok
orientation,1.0,power_design-c43d8cfde0e3,power_design,shape,2,3,0.059988284590011764,0.13023191313842636,0.08256956991127191,33,33,32,0.9696969696969697,0.029840361449535197,ok
