evaluation.integration_params.forced_components,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv,component_selection
6.0,power_design,False,magnitude,1.0,delta,1,100,100,100,1.0,0.0,100,0.04866817603748839,0.034820008236142175,0.04418534690545323,0.05514043180653694,100,13.2736705691797,12.464959466213418,54.04874741827213,100,6.0,6,6,forced
6.0,power_design,False,magnitude,1.0,angle,1,100,100,59,0.59,0.04918333050943175,100,0.04866817603748839,0.034820008236142175,0.04418534690545323,0.05514043180653694,100,13.2736705691797,12.464959466213418,54.04874741827213,100,6.0,6,6,forced
6.0,power_design,False,magnitude,1.0,shape,1,100,100,41,0.41,0.04918333050943175,100,0.04866817603748839,0.034820008236142175,0.04418534690545323,0.05514043180653694,100,13.2736705691797,12.464959466213418,54.04874741827213,100,6.0,6,6,forced
6.0,power_design,False,none,0.0,delta,1,100,100,0,0.0,0.0,100,0.04922569549134974,0.03444369802621622,0.04690981548353901,0.055480144705429946,100,10.92075286621947,5.152209017907218,49.20149785804027,100,6.0,6,6,forced
6.0,power_design,False,none,0.0,angle,1,100,100,2,0.02,0.014,100,0.04922569549134974,0.03444369802621622,0.04690981548353901,0.055480144705429946,100,10.92075286621947,5.152209017907218,49.20149785804027,100,6.0,6,6,forced
6.0,power_design,False,none,0.0,shape,1,100,100,0,0.0,0.0,100,0.04922569549134974,0.03444369802621622,0.04690981548353901,0.055480144705429946,100,10.92075286621947,5.152209017907218,49.20149785804027,100,6.0,6,6,forced
6.0,power_design,False,orientation,0.25,delta,1,100,100,61,0.61,0.048774993593028795,100,0.047957937941192116,0.03092112700086236,0.044364213683493775,0.05788020630316015,100,12.044112069612176,7.830109930601521,51.5358101558558,100,6.0,6,6,forced
6.0,power_design,False,orientation,0.25,angle,1,100,100,86,0.86,0.03469870314579494,100,0.047957937941192116,0.03092112700086236,0.044364213683493775,0.05788020630316015,100,12.044112069612176,7.830109930601521,51.5358101558558,100,6.0,6,6,forced
6.0,power_design,False,orientation,0.25,shape,1,100,100,98,0.98,0.014000000000000005,100,0.047957937941192116,0.03092112700086236,0.044364213683493775,0.05788020630316015,100,12.044112069612176,7.830109930601521,51.5358101558558,100,6.0,6,6,forced
6.0,power_design,False,orientation,0.5,delta,1,100,100,67,0.67,0.04702127178203499,100,0.05103828844092472,0.03633198150621586,0.04752629117184293,0.05805323518825106,100,12.99884469883683,11.530383321477467,55.2709417972551,100,6.0,6,6,forced
6.0,power_design,False,orientation,0.5,angle,1,100,100,81,0.81,0.03923009049186606,100,0.05103828844092472,0.03633198150621586,0.04752629117184293,0.05805323518825106,100,12.99884469883683,11.530383321477467,55.2709417972551,100,6.0,6,6,forced
6.0,power_design,False,orientation,0.5,shape,1,100,100,94,0.94,0.023748684174075843,100,0.05103828844092472,0.03633198150621586,0.04752629117184293,0.05805323518825106,100,12.99884469883683,11.530383321477467,55.2709417972551,100,6.0,6,6,forced
6.0,power_design,False,orientation,1.0,delta,1,100,100,53,0.53,0.04990991885387112,100,0.04764737824791642,0.030741576467093357,0.039892371312068436,0.05916949787008435,100,15.647994660806908,22.307949150152727,55.41745557355206,100,6.0,6,6,forced
6.0,power_design,False,orientation,1.0,angle,1,100,100,80,0.8,0.04,100,0.04764737824791642,0.030741576467093357,0.039892371312068436,0.05916949787008435,100,15.647994660806908,22.307949150152727,55.41745557355206,100,6.0,6,6,forced
